Country,Code,2020_Receipts_USD,2020_Receipts_USD_Billions
United States,USA,72812000000.0,72.81
France,FRA,32646000000.0,32.65
Australia,AUS,25667000000.0,25.67
Germany,DEU,22049000000.0,22.05
Italy,ITA,20036000000.0,20.04
